Unité	F	f_1 - 4	Score	f_5 - 6	Score	f_7 - 10	Score
"accord"	32	3	-0.3531	6	-0.2647	23	0.4007
"décor"	138	10	-1.3558	22	-0.8324	106	1.8331
"illustration"	3	0	-0.1689	0	-0.2884	3	0.5027
"animation"	121	9	-1.1744	25	0.3487	87	0.687
"dessiner"	20	1	-0.5498	3	-0.3791	16	0.7391
"main"	136	16	-0.2927	28	0.3476	92	-0.3024
"inspiration"	15	2	0.2519	4	0.4604	9	-0.4689
"BD"	26	4	0.4079	7	0.6081	15	-0.7472
"occidental"	13	0	-0.7319	2	-0.295	11	0.7909
"identité"	32	7	1.0659	8	0.531	17	-1.2486
"trouver"	413	39	-1.3042	86	0.4821	288	0.6195
"ici"	187	24	0.3754	31	-0.8225	132	0.6048
"admirable"	5	0	-0.2815	1	0.1743	4	0.3123
"on"	3654	462	0.7218	827	4.7639	2365	-4.8668
"pouvoir"	1586	194	0.3229	272	-2.4824	1120	1.8989
"féliciter"	5	0	-0.2815	0	-0.4807	5	0.8379
"joli"	97	18	1.3572	32	2.7935	47	-4.2846
"coup"	273	26	-0.9795	59	0.5942	188	0.3919
"cela"	1324	229	7.4971	311	3.198	784	-10.9502
"fond"	73	8	-0.333	13	-0.4025	52	0.4896
"comme"	917	102	-0.7396	178	-0.4132	637	0.7512
"forme"	69	9	0.3326	14	0.2908	46	-0.3451
"Mais"	66	12	1.0022	12	-0.3585	42	-0.5804
"savoir"	435	54	0.3402	107	2.0485	274	-1.8162
"apparence"	30	3	-0.3042	6	0.2482	21	0.3069
"parfois"	265	17	-2.8295	45	-0.8678	203	2.8913
"sauf"	62	12	1.1662	18	1.2683	32	-2.2784
"foi|fois"	562	76	0.7534	105	-0.5823	381	-0.3216
"personnage"	812	79	-1.7644	172	0.7387	561	0.5799
"parfaitement"	85	6	-1.02	12	-0.9426	67	1.7274
"animer"	46	1	-1.7225	10	0.3648	35	0.8135
"humain"	50	2	-1.3182	7	-0.7051	41	1.6891
"robot"	4	0	-0.2252	0	-0.3845	4	0.6703
"moteur"	38	6	0.5044	6	-0.4579	26	0.2561
"Unity"	5	1	0.3215	0	-0.4807	4	0.3123
"faire"	2276	344	4.8167	479	1.0892	1453	-4.8516
"merveille"	28	1	-0.8883	1	-1.792	26	2.7011
"accompagner"	42	2	-0.9971	4	-1.2176	36	2.1153
"bande-son"	36	4	-0.2588	8	0.3713	24	-0.3055
"adapter"	32	5	0.4583	4	-0.6777	23	0.4007
"histoire"	676	65	-1.6565	143	0.675	468	0.5888
"regard"	19	0	-1.0697	1	-1.0701	18	2.1864
"travers"	71	4	-1.244	4	-3.1534	63	4.3614
"cinématique"	133	35	5.1651	29	0.4968	69	-4.097
"dessin"	25	2	-0.3985	3	-0.6209	20	0.8528
"scène"	197	19	-0.7798	50	1.4606	128	-0.6935
"théâtre"	6	1	0.2671	1	-0.1812	4	-0.206
"réaliser"	72	7	-0.4693	19	0.9607	46	-0.5767
"nous"	977	114	-0.4672	183	-0.6982	680	0.8327
"éclairer"	3	1	0.4919	1	0.314	1	-0.6165
"background"	33	1	-1.1122	16	3.6822	16	-1.8074
"ni"	95	6	-1.3195	27	1.5457	62	-0.4955
"trop"	582	95	2.7314	148	3.2069	339	-6.2987
"longue"	85	8	-0.5521	15	-0.4401	62	0.7098
"court"	76	7	-0.5523	21	1.1939	48	-0.6651
"séquence"	88	15	0.9565	25	1.4661	48	-2.2425
"obligatoire"	13	1	-0.2848	0	-1.2497	12	1.326
"gâcher"	49	6	0.2537	17	1.9644	26	-1.6852
"narration"	122	14	-0.3212	29	0.7814	79	-0.602
"vocal"	3	0	-0.1689	0	-0.2884	3	0.5027
"avoir"	5868	831	5.7058	1240	2.1286	3797	-7.3982
"déranger"	11	0	-0.6193	1	-0.4863	10	1.0524
"absence"	25	1	-0.7581	8	0.9765	16	-0.3911
"voix"	59	6	-0.3839	6	-1.4306	47	1.4734
"enlever"	23	3	0.266	5	0.3078	15	-0.3327
"également"	226	14	-2.651	39	-0.7309	173	2.5296
"gros"	267	39	0.8858	66	1.5216	162	-2.1592
"celui"	431	58	0.6506	62	-2.7066	311	1.4648
"localisation"	5	0	-0.2815	1	0.1743	4	0.3123
"éventuel"	8	0	-0.4504	2	0.3076	6	0.3002
"souci"	57	10	0.8275	9	-0.552	38	-0.3328
"aller"	816	115	1.2779	185	1.5925	516	-2.6532
"avec"	1654	172	-1.8489	315	-0.6715	1167	1.8925
"action"	228	26	-0.3853	35	-1.3092	167	1.3036
"dérouler"	53	5	-0.4396	13	0.6157	35	-0.3656
"départ"	51	10	1.0727	11	0.3624	30	-0.972
"ville"	494	80	2.3127	94	-0.4606	320	-1.1542
"fleuron"	2	1	0.6413	0	-0.1923	1	-0.2694
"subir"	28	3	-0.2582	5	-0.2939	20	0.3614
"assaut"	16	1	-0.3936	1	-0.8423	14	1.1355
"armée"	22	2	-0.3107	7	0.889	13	-0.6052
"cruel"	8	0	-0.4504	2	0.3076	6	0.3002
"y"	1049	134	0.5473	235	1.6518	680	-1.8037
"quelque"	604	64	-0.8798	117	-0.3918	423	0.8237
"temps"	546	78	1.1255	119	0.8544	349	-1.6198
"scientifique"	11	6	3.064	2	-0.2061	3	-2.1735
"bourgade"	7	0	-0.3941	0	-0.6729	7	1.1731
"offrir"	161	10	-2.0161	29	-0.4971	122	1.7188
"arme"	156	12	-1.2989	34	0.5214	110	0.5534
"capable"	40	6	0.4459	4	-1.1022	30	0.6579
"contrôler"	49	3	-0.8601	7	-0.6651	39	1.2829
"roi"	43	3	-0.6652	22	5.3352	18	-3.4357
"triompher"	7	0	-0.3941	1	-0.2361	6	0.54
"adversaire"	34	4	-0.2209	4	-0.7776	26	0.717
"pendant"	166	25	0.8166	34	0.3462	107	-0.7309
"profiter"	72	5	-0.9375	11	-0.6839	56	1.3396
"technologie"	6	0	-0.3378	1	-0.1812	5	0.4228
"révolutionnaire"	14	2	0.2827	1	-0.6957	11	0.5281
"souverain"	2	0	-0.1126	0	-0.1923	2	0.3352
"péter"	21	4	0.6073	5	0.39	12	-0.6977
"plomb"	6	0	-0.3378	1	-0.1812	5	0.4228
"ordonner"	7	0	-0.3941	1	-0.2361	6	0.54
"troupe"	8	2	0.5969	2	0.3076	4	-0.6342
"armer"	9	0	-0.5067	3	0.5884	6	-0.2293
"traquer"	9	0	-0.5067	1	-0.356	8	0.7891
"tuer"	163	24	0.7289	48	2.656	91	-3.1161
"la|le"	862	99	-0.5328	189	1.1522	574	-0.7008
"autrefois"	2	0	-0.1126	0	-0.1923	2	0.3352
"aider"	98	19	1.5817	19	-0.2887	60	-1.0282
"dernier"	282	34	-0.28	39	-2.2723	209	1.8282
"désaccord"	3	0	-0.1689	1	0.314	2	-0.1638
"politique"	13	3	0.6905	2	-0.295	8	-0.3903
"conquête"	2	0	-0.1126	0	-0.1923	2	0.3352
"inutile"	59	19	4.3584	19	1.7655	21	-6.4783
"parvenir"	44	2	-1.0755	7	-0.4796	35	1.1854
"enfuir"	10	2	0.4586	0	-0.9613	8	0.4803
"femme"	37	8	1.1364	5	-0.6404	24	-0.3967
"fil|fils"	25	1	-0.7581	4	-0.3688	20	0.8528
"avant"	264	28	-0.5966	45	-0.8473	191	1.1448
"rattraper"	25	4	0.4414	9	1.3478	12	-1.5223
"soldat"	45	7	0.5177	9	0.2599	29	-0.447
"alors"	417	75	3.4488	87	0.4931	255	-2.7277
"aventure"	298	21	-2.5592	61	0.3788	216	1.2749
"commencer"	211	33	1.1077	51	1.1473	127	-1.9928
"grandir"	10	0	-0.563	2	0.2077	8	0.4803
"fuir"	23	5	0.8568	5	0.3078	13	-0.772
"immense"	69	8	-0.2716	20	1.351	41	-1.0801
"tour"	157	19	-0.2579	19	-2.1434	119	1.6947
"lieu"	140	11	-1.1504	23	-0.7398	106	1.5438
"but"	57	11	1.0974	8	-0.7555	38	-0.3328
"sortie"	70	11	0.6447	12	-0.4597	47	-0.3146
"épopée"	11	2	0.4046	1	-0.4863	8	0.2919
"très"	1245	99	-6.0045	253	0.4546	893	2.6336
"haut"	132	19	0.6009	25	-0.3497	88	-0.3932
"complexe"	47	1	-1.7707	4	-1.5192	42	3.2115
"renfermer"	3	0	-0.1689	0	-0.2884	3	0.5027
"intéressant"	203	24	-0.3051	38	-0.4187	141	0.4474
"notre"	414	51	0.3165	53	-3.9869	310	2.8867
"héro|héros"	255	39	1.1049	39	-1.4305	177	0.4694
"construction"	20	2	-0.2563	4	0.2349	14	0.2756
"assez"	541	37	-4.4825	115	0.6551	389	1.5663
"simple"	212	21	-0.7313	37	-0.665	154	1.0837
":"	1299	181	1.5346	246	-0.6703	872	-0.5809
"salle"	36	1	-1.2499	4	-0.8819	31	1.9351
"nouveau"	298	23	-2.0494	58	-0.3308	217	1.391
"acquérir"	18	3	0.4234	3	-0.2948	12	-0.2674
"boss"	161	16	-0.6319	53	4.1807	92	-2.6014
"relater"	2	0	-0.1126	0	-0.1923	2	0.3352
"fait"	272	41	1.0617	45	-1.0182	186	0.325
"mur"	70	13	1.1087	14	0.2711	43	-0.8311
"peindre"	2	0	-0.1126	0	-0.1923	2	0.3352
"parler"	261	40	1.1317	56	0.5518	165	-1.2388
"leur"	491	53	-0.705	79	-1.7231	359	2.1104
"silence"	19	3	0.3853	2	-0.6169	14	0.3995
"cœur"	91	7	-0.9105	9	-2.0819	75	2.8278
"elle"	488	48	-1.1969	88	-0.7686	352	1.5743
"devenir"	265	26	-0.8538	55	0.4195	184	0.4782
"meilleur"	190	17	-0.9853	23	-2.483	150	3.267
"allié"	29	4	0.3222	8	0.6905	17	-0.7272
"petit"	479	43	-1.7774	72	-2.4162	364	4.137
"garçon"	43	1	-1.5788	2	-2.3071	40	4.0273
"votre"	499	29	-5.8195	77	-2.189	393	7.228
"pire"	97	26	4.1537	27	1.4372	44	-5.4601
"cauchemar"	8	1	0.1901	2	0.3076	5	-0.3019
"lors"	155	15	-0.6814	31	0.2889	109	0.5257
"certain"	549	37	-4.6959	114	0.5052	398	1.9064
"laisser"	229	28	0.2862	46	0.3086	155	-0.3134
"place"	121	15	0.293	27	0.551	79	-0.5341
"erreur"	47	4	-0.5104	11	0.4895	32	0.2491
"moindre"	55	7	0.2928	4	-2.0345	44	1.4572
"hésitation"	6	0	-0.3378	0	-0.5768	6	1.0055
"payer"	10	0	-0.563	1	-0.42	9	0.9193
"cash"	4	0	-0.2252	0	-0.3845	4	0.6703
"sen|sens"	139	19	0.4826	21	-1.0253	99	0.6286
"quand"	535	68	0.4354	146	4.6863	321	-4.2254
"gant"	2	0	-0.1126	0	-0.1923	2	0.3352
"interagir"	13	1	-0.2848	3	0.3071	9	0.227
"cube"	4	0	-0.2252	0	-0.3845	4	0.6703
"métal"	3	0	-0.1689	0	-0.2884	3	0.5027
"donc"	453	63	0.8442	98	0.7303	292	-1.2191
"conducteur"	4	0	-0.2252	1	0.231	3	0.2104
"courant"	13	2	0.3179	2	-0.295	9	0.227
"chose"	484	79	2.3789	100	0.4612	305	-1.9396
"important"	94	8	-0.7475	23	0.795	63	-0.3382
"préciser"	32	7	1.0659	8	0.531	17	-1.2486
"apprécier"	106	13	0.275	29	1.4142	64	-1.226
"surtout"	328	32	-0.9843	66	0.3243	230	0.6548
"pad"	10	2	0.4586	3	0.4978	5	-0.7283
"précision"	26	0	-1.4638	5	-0.233	21	0.9397
"demander"	150	21	0.5549	23	-1.0159	106	0.5669
"fil"	71	7	-0.4495	3	-3.8085	61	3.3343
"avancée"	15	2	0.2519	5	0.7944	8	-0.7632
"exigence"	4	0	-0.2252	0	-0.3845	4	0.6703
"même"	1393	193	1.5177	331	3.7192	869	-5.2738
"vers"	115	12	-0.4591	25	0.4669	78	-0.2837
"fin"	424	43	-0.9436	102	1.7166	279	-0.7435
"ensuite"	109	23	2.2472	25	0.6155	61	-2.2477
"polarité"	6	0	-0.3378	0	-0.5768	6	1.0055
"jugeote"	3	0	-0.1689	0	-0.2884	3	0.5027
"manière"	147	23	0.9096	27	-0.4312	97	-0.4814
"utiliser"	154	16	-0.5237	32	0.3783	106	0.3478
"contraire"	37	2	-0.807	5	-0.6404	30	1.2343
"attirer"	29	4	0.3222	5	-0.3268	20	0.2646
"tandis"	44	5	-0.2588	4	-1.3361	35	1.1854
"identique"	20	7	2.1435	3	-0.3791	10	-1.1421
"repousser"	11	0	-0.6193	3	0.4227	8	0.2919
"symboliser"	4	0	-0.2252	3	1.5743	1	-1.0012
"deux"	383	57	1.2002	61	-1.542	265	0.4841
"couleur"	64	11	0.8264	9	-0.8042	44	0.2945
"bleu"	26	3	-0.2153	6	0.3818	17	-0.3368
"rouge"	34	4	-0.2209	4	-0.7776	26	0.717
"ruser"	6	0	-0.3378	0	-0.5768	6	1.0055
"taper"	45	12	2.2034	11	0.5667	22	-2.2209
"plafond"	7	0	-0.3941	2	0.3775	5	0.2211
"etc"	131	11	-0.94	12	-3.1545	108	3.8381
"début"	234	29	0.3135	52	0.6925	153	-0.6659
"fleur"	10	1	-0.1857	2	0.2077	7	0.2253
"entourer"	35	4	-0.2395	6	-0.3553	25	0.3899
"aura"	7	0	-0.3941	0	-0.6729	7	1.1731
"lui"	482	73	1.5372	84	-1.0052	325	-0.384
"permettre"	294	26	-1.347	47	-1.2754	221	2.3675
"planer"	17	3	0.4657	5	0.6254	9	-0.8451
"flux"	2	0	-0.1126	0	-0.1923	2	0.3352
"énergie"	11	0	-0.6193	1	-0.4863	10	1.0524
"corser"	4	0	-0.2252	0	-0.3845	4	0.6703
"suite"	221	26	-0.3187	44	0.2849	151	0.3107
"notamment"	130	5	-3.0218	15	-2.0674	110	4.9038
"arrivé|arrivée"	27	6	0.9939	5	-0.2626	16	-0.6595
"botte"	8	1	0.1901	3	0.6991	4	-0.6342
"soit"	118	18	0.7332	20	-0.5959	80	-0.2865
"possibilité"	89	10	-0.3233	17	-0.3076	62	0.381
"téléporter"	15	5	1.5546	2	-0.3942	8	-0.7632
"sur"	1779	235	1.0278	388	1.6667	1156	-2.4343
"distance"	20	2	-0.2563	2	-0.6767	16	0.7391
"plus"	2515	272	-1.7076	473	-1.0153	1770	2.2971
"éloigner"	23	1	-0.6733	3	-0.5194	19	1.0167
"éviter"	65	11	0.7932	12	-0.3352	42	-0.492
"chien"	21	2	-0.283	5	0.39	14	-0.2757
"noir"	62	3	-1.3259	14	0.4653	45	0.5773
"traverser"	31	3	-0.3283	6	-0.2373	22	0.3523
"champ"	28	0	-1.5764	5	-0.2939	23	1.1215
"magnétique"	2	0	-0.1126	1	0.4465	1	-0.2694
"calculer"	10	2	0.4586	1	-0.42	7	0.2253
"timing"	8	1	0.1901	2	0.3076	5	-0.3019
"opposer"	20	2	-0.2563	2	-0.6767	16	0.7391
"servir"	151	20	0.4235	48	3.4508	83	-3.2551
"donner"	392	52	0.5653	77	-0.3115	263	-0.4315
"élan"	8	0	-0.4504	1	-0.2945	7	0.6624
"exemple"	149	16	-0.4525	27	-0.4679	106	0.6348
"lustre"	4	0	-0.2252	0	-0.3845	4	0.6703
"suspendre"	10	0	-0.563	0	-0.9613	10	1.6758
"rapprocher"	24	2	-0.3685	5	0.2732	17	0.3199
"rejoindre"	23	1	-0.6733	6	0.5243	16	0.2716
"changer"	107	18	1.019	25	0.6728	64	-1.3407
"gagner"	96	2	-3.3979	17	-0.4523	77	2.2619
"peu"	976	80	-4.3742	207	0.8131	689	1.3721
"sauter"	115	25	2.5735	25	0.4669	65	-2.1873
"jusque"	166	21	0.3391	37	0.6156	108	-0.633
"point"	570	86	1.674	122	0.7205	362	-1.8882
"vouloir"	366	54	1.1102	76	0.4543	236	-1.0739
"extrême"	12	3	0.7657	3	0.36	6	-0.8171
"atout"	19	1	-0.5098	7	1.1845	11	-0.6225
"cape"	5	0	-0.2815	1	0.1743	4	0.3123
"halo"	2	0	-0.1126	1	0.4465	1	-0.2694
"retrouver"	260	19	-2.1174	58	0.7453	183	0.6501
"projeter"	2	0	-0.1126	0	-0.1923	2	0.3352
"afin"	135	15	-0.3795	23	-0.6176	97	0.7151
"résoudre"	18	2	-0.2057	2	-0.5586	14	0.5708
"énigme"	39	1	-1.3896	5	-0.731	33	1.8027
"difficile"	120	9	-1.1482	28	0.7026	83	0.3632
"saut"	62	9	0.4701	13	0.3342	40	-0.4922
"vide"	131	28	2.6958	29	0.5412	74	-2.4213
"téléportation"	9	0	-0.5067	4	1.077	5	-0.4981
"puis"	210	35	1.4792	54	1.6372	121	-2.9895
"atteindre"	66	6	-0.5311	11	-0.4964	49	0.771
"jouer"	467	57	0.2937	79	-1.2201	331	1.0103
"lévitation"	2	0	-0.1126	0	-0.1923	2	0.3352
"progresser"	35	3	-0.4314	6	-0.3553	26	0.5634
"étage"	9	1	-0.1553	2	0.2522	6	-0.2293
"posséder"	97	4	-2.2142	11	-1.7168	82	3.7735
"escalier"	7	1	0.2244	0	-0.6729	6	0.54
"monter"	66	11	0.7612	5	-2.2691	50	0.9619
"sommet"	17	3	0.4657	2	-0.502	12	0.2801
"penser"	261	39	0.9907	52	0.2891	170	-0.7494
"chacun"	86	6	-1.0488	9	-1.8157	71	2.7443
"eux"	95	9	-0.5723	26	1.3201	60	-0.7359
"propre"	105	4	-2.5366	11	-2.1151	90	4.5789
"faiblesse"	23	5	0.8568	5	0.3078	13	-0.772
"toujours"	450	40	-1.7676	61	-3.5234	349	5.3348
"trois"	120	16	0.4123	25	0.3665	79	-0.4708
"phase"	172	31	1.7924	34	-0.2724	107	-1.2012
"apprendre"	113	13	-0.3123	25	0.5128	75	-0.4084
"dépendre"	18	0	-1.0134	2	-0.5586	16	1.379
"fau|faux"	3	1	0.4919	0	-0.2884	2	-0.1638
"entraîner"	15	0	-0.8445	1	-0.7684	14	1.6072
"mort"	101	7	-1.1849	20	-0.2565	74	0.8211
"seul"	265	35	0.4855	61	0.9446	169	-1.0908
"vie"	296	33	-0.474	72	1.4666	191	-0.9468
"recommencer"	48	7	0.4373	13	0.8478	28	-0.9909
"combat"	521	74	1.0527	133	3.0195	314	-3.9148
"depuis"	144	9	-1.8306	38	1.4608	97	-0.3304
"finir"	305	54	2.5179	64	0.4785	187	-2.094
"connaître"	142	11	-1.1994	28	-0.2725	103	0.8496
"chaque"	233	30	0.4002	30	-2.4655	173	1.651
"routine"	9	3	1.0658	1	-0.356	5	-0.4981
"prier"	8	1	0.1901	1	-0.2945	6	0.3002
"sombrer"	12	0	-0.6756	2	-0.2491	10	0.6829
"rage"	11	1	-0.2174	1	-0.4863	9	0.5792
"destructeur"	4	0	-0.2252	1	0.231	3	0.2104
"après"	416	57	0.7309	94	1.0383	265	-1.4522
"énième"	5	1	0.3215	0	-0.4807	4	0.3123
"rater"	55	13	1.8821	14	0.723	28	-2.208
"foirer"	8	3	1.2019	2	0.3076	3	-1.1244
"millimètre"	4	1	0.393	1	0.231	2	-0.4157
"tomber"	126	20	0.8905	23	-0.4261	83	-0.4731
"pile"	3	0	-0.1689	0	-0.2884	3	0.5027
"poil"	31	4	0.2754	5	-0.3971	22	0.3523
"laser"	2	0	-0.1126	0	-0.1923	2	0.3352
"surpuissant"	12	2	0.3582	2	-0.2491	8	-0.2453
"retordre"	5	0	-0.2815	0	-0.4807	5	0.8379
"si"	1087	116	-1.1494	203	-0.7594	768	1.5074
"principal"	285	37	0.4424	55	-0.3551	193	-0.3153
"boucler"	28	6	0.9338	5	-0.2939	17	-0.5812
"relativement"	40	6	0.4459	6	-0.5323	28	0.3307
"trentaine"	10	0	-0.563	2	0.2077	8	0.4803
"parchemin"	6	0	-0.3378	2	0.4671	4	-0.206
"carte"	105	10	-0.5917	19	-0.4211	76	0.7087
"accéder"	15	3	0.5652	2	-0.3942	10	-0.2575
"véritable"	103	13	0.3121	18	-0.4923	72	0.4177
"récompenser"	13	1	-0.2848	4	0.6051	8	-0.3903
"acharner"	4	0	-0.2252	0	-0.3845	4	0.6703
"patient"	6	1	0.2671	1	-0.1812	4	-0.206
"concurrent"	3	0	-0.1689	1	0.314	2	-0.1638
"original"	108	10	-0.6503	24	0.5176	74	0.3021
"suffisamment"	31	0	-1.7453	3	-0.9565	28	2.4257
"frustrer"	31	4	0.2754	6	-0.2373	21	-0.2552
"graphiquement"	44	9	1.0988	8	-0.319	27	-0.6665
"séduisant"	5	0	-0.2815	2	0.5854	3	-0.2901
"manquer"	144	14	-0.6468	42	2.3183	88	-1.3169
"marquer"	75	5	-1.0275	12	-0.6033	58	1.2974
"véritablement"	40	1	-1.4366	12	1.0771	27	-0.2732
"esprit"	52	2	-1.4012	6	-1.065	44	2.2666
"détail"	91	14	0.6728	17	-0.3459	60	-0.4262
"différence"	23	8	2.3667	4	-0.2944	11	-1.4493
"exploration"	93	6	-1.2577	18	-0.289	69	0.9231
"proche"	46	2	-1.1553	10	0.3648	34	0.6125
"die"	4	1	0.393	0	-0.3845	3	0.2104
"&"	11	2	0.4046	0	-1.0574	9	0.5792
"retry"	4	1	0.393	0	-0.3845	3	0.2104
"puzzle"	23	0	-1.2949	6	0.5243	17	0.4448
"intervenir"	11	4	1.4486	0	-1.0574	7	-0.3104
"mécanique"	68	14	1.4869	5	-2.3998	49	0.5509
"semblable"	11	0	-0.6193	1	-0.4863	10	1.0524
"choix"	113	21	1.5082	12	-2.1862	80	0.5261
"narratif"	46	8	0.7211	10	0.3648	28	-0.7232
"artistique"	92	4	-2.0176	15	-0.6222	73	1.961
"néanmoins"	55	4	-0.7313	4	-2.0345	47	2.5736
"colorer"	15	1	-0.3565	4	0.4604	10	-0.2575
"("	1989	243	0.3206	430	1.5744	1316	-1.3664
"forcément"	82	6	-0.9352	9	-1.6112	67	2.3964
")"	2019	244	-0.3214	431	1.3025	1344	-1.0479
"beaucoup"	398	29	-2.9783	76	-0.4206	293	2.0733
"consistant"	3	0	-0.1689	0	-0.2884	3	0.5027
";"	155	18	-0.32	20	-1.8027	117	1.5896
"vaste"	41	5	0.2455	4	-1.1595	32	0.9582
"introduire"	22	3	0.2916	5	0.3465	14	-0.3902
"léger"	39	3	-0.5441	5	-0.731	31	1.0858
"dimension"	20	0	-1.126	2	-0.6767	18	1.6311
"metroidvania"	2	0	-0.1126	0	-0.1923	2	0.3352
"puisque"	115	7	-1.6079	15	-1.4166	93	2.8367
"cour|cours"	55	2	-1.5276	11	0.2651	42	0.9362
"revisiter"	4	0	-0.2252	1	0.231	3	0.2104
"ancien"	60	2	-1.7424	15	0.7024	43	0.4907
